"periodo","clientes_no_inicio_do_mes","total_churn_no_mes","churn_rate_percentual","status_saude"
"2013-06",2684,30,1.12,SAUDÁVEL
"2013-07",2696,54,2.00,CRÍTICO (>2%)
"2013-08",2725,41,1.50,ALERTA
"2013-09",2726,35,1.28,SAUDÁVEL
"2013-10",2725,25,0.92,SAUDÁVEL
"2013-11",2758,36,1.31,SAUDÁVEL
"2013-12",2770,43,1.55,ALERTA
"2014-01",2770,61,2.20,CRÍTICO (>2%)
"2014-02",2752,49,1.78,ALERTA
"2014-03",2759,31,1.12,SAUDÁVEL
"2014-04",2793,47,1.68,ALERTA
"2014-05",2804,42,1.50,SAUDÁVEL
"2014-06",2819,24,0.85,SAUDÁVEL
"2014-07",2853,38,1.33,SAUDÁVEL
"2014-08",2886,25,0.87,SAUDÁVEL
"2014-09",2922,49,1.68,ALERTA
"2014-10",2940,35,1.19,SAUDÁVEL
"2014-11",2978,31,1.04,SAUDÁVEL
"2014-12",3014,22,0.73,SAUDÁVEL
"2015-01",3058,42,1.37,SAUDÁVEL
"2015-02",3085,43,1.39,SAUDÁVEL
"2015-03",3108,55,1.77,ALERTA
"2015-04",3124,45,1.44,SAUDÁVEL
"2015-05",3143,29,0.92,SAUDÁVEL
"2015-06",3185,55,1.73,ALERTA
"2015-07",3201,36,1.12,SAUDÁVEL
"2015-08",3285,28,0.85,SAUDÁVEL
"2015-09",3295,51,1.55,ALERTA
"2015-10",3297,45,1.36,SAUDÁVEL
"2015-11",3315,46,1.39,SAUDÁVEL
"2015-12",3325,46,1.38,SAUDÁVEL
"2016-01",3334,38,1.14,SAUDÁVEL
"2016-02",3357,58,1.73,ALERTA
"2016-03",3361,51,1.52,ALERTA
"2016-04",3383,50,1.48,SAUDÁVEL
"2016-05",3387,44,1.30,SAUDÁVEL
"2016-06",3401,40,1.18,SAUDÁVEL
"2016-07",3409,47,1.38,SAUDÁVEL
"2016-08",3429,64,1.87,ALERTA
"2016-09",3393,31,0.91,SAUDÁVEL
"2016-10",3373,47,1.39,SAUDÁVEL
"2016-11",3343,43,1.29,SAUDÁVEL
"2016-12",3315,39,1.18,SAUDÁVEL
"2017-01",3293,39,1.18,SAUDÁVEL
"2017-02",3275,22,0.67,SAUDÁVEL
"2017-03",3270,45,1.38,SAUDÁVEL
"2017-04",3246,27,0.83,SAUDÁVEL
"2017-05",3238,38,1.17,SAUDÁVEL
"2017-06",3225,36,1.12,SAUDÁVEL
"2017-07",3215,46,1.43,SAUDÁVEL
"2017-08",3201,43,1.34,SAUDÁVEL
"2017-09",3182,36,1.13,SAUDÁVEL
"2017-10",3172,33,1.04,SAUDÁVEL
"2017-11",3171,29,0.91,SAUDÁVEL
"2017-12",3156,41,1.30,SAUDÁVEL
"2018-01",3140,49,1.56,ALERTA
"2018-02",3125,33,1.06,SAUDÁVEL
"2018-03",3109,43,1.38,SAUDÁVEL
"2018-04",3081,32,1.04,SAUDÁVEL
"2018-05",3065,46,1.50,ALERTA
"2018-06",3043,31,1.02,SAUDÁVEL
"2018-07",3039,47,1.55,ALERTA
"2018-08",3028,47,1.55,ALERTA
"2018-09",3017,44,1.46,SAUDÁVEL
"2018-10",3010,31,1.03,SAUDÁVEL
"2018-11",3004,31,1.03,SAUDÁVEL
"2018-12",3007,26,0.86,SAUDÁVEL
"2019-01",3028,25,0.83,SAUDÁVEL
"2019-02",3041,36,1.18,SAUDÁVEL
"2019-03",3031,40,1.32,SAUDÁVEL
"2019-04",3022,30,0.99,SAUDÁVEL
"2019-05",3034,28,0.92,SAUDÁVEL
"2019-06",3071,37,1.20,SAUDÁVEL
"2019-07",3061,46,1.50,ALERTA
"2019-08",3057,38,1.24,SAUDÁVEL
"2019-09",3065,44,1.44,SAUDÁVEL
"2019-10",3050,39,1.28,SAUDÁVEL
"2019-11",3069,29,0.94,SAUDÁVEL
"2019-12",3091,20,0.65,SAUDÁVEL
"2020-01",3095,23,0.74,SAUDÁVEL
"2020-02",3113,32,1.03,SAUDÁVEL
"2020-03",3104,31,1.00,SAUDÁVEL
"2020-04",3127,42,1.34,SAUDÁVEL
"2020-05",3133,24,0.77,SAUDÁVEL
"2020-06",3157,26,0.82,SAUDÁVEL
"2020-07",3186,27,0.85,SAUDÁVEL
"2020-08",3215,24,0.75,SAUDÁVEL
"2020-09",3222,20,0.62,SAUDÁVEL
"2020-10",3237,18,0.56,SAUDÁVEL
"2020-11",3267,18,0.55,SAUDÁVEL
"2020-12",3318,45,1.36,SAUDÁVEL
"2021-01",3320,18,0.54,SAUDÁVEL
"2021-02",3348,32,0.96,SAUDÁVEL
"2021-03",3350,40,1.19,SAUDÁVEL
"2021-04",3351,29,0.87,SAUDÁVEL
"2021-05",3364,79,2.35,CRÍTICO (>2%)
"2021-06",3470,36,1.04,SAUDÁVEL
"2021-07",3508,32,0.91,SAUDÁVEL
"2021-08",3568,34,0.95,SAUDÁVEL
"2021-09",3612,40,1.11,SAUDÁVEL
"2021-10",3613,32,0.89,SAUDÁVEL
"2021-11",3635,54,1.49,SAUDÁVEL
"2021-12",3638,36,0.99,SAUDÁVEL
"2022-01",3644,35,0.96,SAUDÁVEL
"2022-02",3647,25,0.69,SAUDÁVEL
"2022-03",3655,41,1.12,SAUDÁVEL
"2022-04",3674,51,1.39,SAUDÁVEL
"2022-05",3680,52,1.41,SAUDÁVEL
"2022-06",3668,31,0.85,SAUDÁVEL
"2022-07",3695,27,0.73,SAUDÁVEL
"2022-08",3727,86,2.31,CRÍTICO (>2%)
"2022-09",3694,48,1.30,SAUDÁVEL
"2022-10",3691,41,1.11,SAUDÁVEL
"2022-11",3703,38,1.03,SAUDÁVEL
"2022-12",3729,31,0.83,SAUDÁVEL
"2023-01",3739,39,1.04,SAUDÁVEL
"2023-02",3730,39,1.05,SAUDÁVEL
"2023-03",3743,57,1.52,ALERTA
"2023-04",3736,43,1.15,SAUDÁVEL
"2023-05",3735,43,1.15,SAUDÁVEL
"2023-06",3739,41,1.10,SAUDÁVEL
"2023-07",3742,28,0.75,SAUDÁVEL
"2023-08",3788,37,0.98,SAUDÁVEL
"2023-09",3796,25,0.66,SAUDÁVEL
"2023-10",3811,33,0.87,SAUDÁVEL
"2023-11",3818,38,1.00,SAUDÁVEL
"2023-12",3814,32,0.84,SAUDÁVEL
"2024-01",3818,47,1.23,SAUDÁVEL
"2024-02",3810,29,0.76,SAUDÁVEL
"2024-03",3815,33,0.87,SAUDÁVEL
"2024-04",3833,38,0.99,SAUDÁVEL
"2024-05",3841,45,1.17,SAUDÁVEL
"2024-06",3846,44,1.14,SAUDÁVEL
"2024-07",3842,34,0.88,SAUDÁVEL
"2024-08",3848,25,0.65,SAUDÁVEL
"2024-09",3867,22,0.57,SAUDÁVEL
"2024-10",3878,42,1.08,SAUDÁVEL
"2024-11",3868,35,0.90,SAUDÁVEL
"2024-12",3876,27,0.70,SAUDÁVEL
"2025-01",3893,45,1.16,SAUDÁVEL
"2025-02",3898,31,0.80,SAUDÁVEL
"2025-03",3905,32,0.82,SAUDÁVEL
"2025-04",3906,27,0.69,SAUDÁVEL
"2025-05",3916,47,1.20,SAUDÁVEL
"2025-06",3890,46,1.18,SAUDÁVEL
"2025-07",3860,42,1.09,SAUDÁVEL
"2025-08",3839,43,1.12,SAUDÁVEL
"2025-09",3818,50,1.31,SAUDÁVEL
"2025-10",3796,43,1.13,SAUDÁVEL
"2025-11",3778,25,0.66,SAUDÁVEL
"2025-12",3768,40,1.06,SAUDÁVEL
"2026-01",3755,37,0.99,SAUDÁVEL
"2026-02",3752,39,1.04,SAUDÁVEL
"2026-03",3744,12,0.32,SAUDÁVEL
