periodo;clientes_no_inicio_do_mes;total_churn_no_mes;churn_rate_percentual;status_saude
2024-12;9486;84;0.89;SAUDÁVEL
2025-01;9581;129;1.35;SAUDÁVEL
2025-02;9601;124;1.29;SAUDÁVEL
2025-03;9636;117;1.21;SAUDÁVEL
2025-04;9634;146;1.52;ALERTA
2025-05;9653;225;2.33;CRÍTICO (>2%)
2025-06;9495;129;1.36;SAUDÁVEL
2025-07;9428;208;2.21;CRÍTICO (>2%)
2025-08;9291;209;2.25;CRÍTICO (>2%)
2025-09;9171;188;2.05;CRÍTICO (>2%)
2025-10;9065;162;1.79;ALERTA
2025-11;8967;190;2.12;CRÍTICO (>2%)
2025-12;8838;369;4.18;CRÍTICO (>2%)
